,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
45,1291369986800271360,1290829356126728192,1596721572000,2020-08-06,20:46:12,SE Asia Standard Time,925073322106224642,sobran_holid,Subran kholid,,kalau bisa diaudin ngak ya ? atau lagi mulai masuk corona buka parawisata. itu apa namanya? heboh lagi kalau jadi presiden jakarta bebas banjir itu hoax atau apa ya ?  pic.twitter.com/kl0qb03aph,['muannas_alaidid'],[],['https://pbs.twimg.com/media/EeveJ3wVAAEO9LK.jpg'],0,0,0,[],[],https://twitter.com/sobran_holid/status/1291369986800271360,False,,0,,,,,,,"[{'user_id': '925073322106224642', 'username': 'sobran_holid'}, {'user_id': '1415953428', 'username': 'muannas_alaidid'}]",,,,
46,1291367963736465408,1291367963736465408,1596721089000,2020-08-06,20:38:09,SE Asia Standard Time,712276389286686721,rakyatmerdeka99,Rakyat Merdeka,,"cegah banjir, kali sunter dikeruk

petugas dinas sumber daya air (sda) dki jakarta melakukan pengerukan endapan lumpur di kali sunter, jakarta, kamis (6/8). dinas sda mengajukan anggaran rp5 triliun ke pemrov dki…  https://www.instagram.com/p/cdjmbhhjb4_/?igshid=11yuv9rzs2r5d …",[],['https://www.instagram.com/p/CDjMBHhjB4_/?igshid=11yuv9rzs2r5d'],[],0,0,0,[],[],https://twitter.com/RakyatMerdeka99/status/1291367963736465408,False,,0,,,,,,,"[{'user_id': '712276389286686721', 'username': 'RakyatMerdeka99'}]",,,,
47,1291366714454626304,1291366714454626304,1596720791000,2020-08-06,20:33:11,SE Asia Standard Time,1175327191858442240,rumaindocom,Rumaindocom,,"🏠dijual murah rumah baru di cluster dekat stasiun lenteng agung jagakarsa jakarta selatan

- one gate system
- security 24 jam
- aman, tenang dan bebas banjir
- unit progress pembangunan 90%
tgl 6 agustus 2020

rumah 2 lantai

luas tanah 66 m2
luas bangunan 100 m2

3 kamar tidur  pic.twitter.com/x2wlw0eepk",[],[],"['https://pbs.twimg.com/media/EevbKQ1VAAEpR7D.jpg', 'https://pbs.twimg.com/media/EevbKqLU4AAtv4q.jpg', 'https://pbs.twimg.com/media/EevbLCkVoAEFSSL.jpg', 'https://pbs.twimg.com/media/EevbLctUEAAj1JD.jpg']",1,0,0,[],[],https://twitter.com/Rumaindocom/status/1291366714454626304,False,,0,,,,,,,"[{'user_id': '1175327191858442240', 'username': 'Rumaindocom'}]",,,,
48,1291366295552704512,1291366295552704512,1596720691000,2020-08-06,20:31:31,SE Asia Standard Time,1175327191858442240,rumaindocom,Rumaindocom,,"🏠dijual murah rumah baru siap huni di cluster kecapi jagakarsa jakarta selatan

- one gate system
- lingkungan tenang, nyaman dan aman bebas banjir
- akses jalan bisa 2 mobil
- hanya 5 unit
tersedia unit indent
- indent -+ 4 bulan
- bisa request layout dan design

rumah 2 lantai  pic.twitter.com/wxfzhf0jbw",[],[],"['https://pbs.twimg.com/media/EevayW6U8AENcfT.jpg', 'https://pbs.twimg.com/media/EevayvaUEAE6sii.jpg', 'https://pbs.twimg.com/media/EevazCGU0AAZ3yg.jpg', 'https://pbs.twimg.com/media/EevazRyUcAABkrF.jpg']",1,0,0,[],[],https://twitter.com/Rumaindocom/status/1291366295552704512,False,,0,,,,,,,"[{'user_id': '1175327191858442240', 'username': 'Rumaindocom'}]",,,,
49,1291365661394886656,1291365661394886656,1596720540000,2020-08-06,20:29:00,SE Asia Standard Time,1175327191858442240,rumaindocom,Rumaindocom,,"🛣️dijual murah tanah kavling cluster di jln persahabatan jagakarsa jakarta selatan

selling point :

- one gate system
- lokasi aman, tenang dan bebas banjir
- akses jalan 2 mobil
- row jalan 5 meter dalam cluster

1. kav a1

luas tanah 92 m2
lebar x panjang ( 8 x 11,5 )  pic.twitter.com/eelmztubg2",[],[],"['https://pbs.twimg.com/media/EevaM0OVAAA5CQA.jpg', 'https://pbs.twimg.com/media/EevaNhhVoAA9eeu.jpg', 'https://pbs.twimg.com/media/EevaOBSU4AME-qg.jpg', 'https://pbs.twimg.com/media/EevaOW3VoAESTKZ.jpg']",1,0,0,[],[],https://twitter.com/Rumaindocom/status/1291365661394886656,False,,0,,,,,,,"[{'user_id': '1175327191858442240', 'username': 'Rumaindocom'}]",,,,
50,1291362725780742144,1291362725780742144,1596719840000,2020-08-06,20:17:20,SE Asia Standard Time,758499693919952897,sugihartono_pro,sugihartono properti,,"rumah 2 lantai lubang buaya harga covid hanya 1,4m 
lt 98m2
lb 130m2
kt 3
km 2
2200 watt
akses 2 mobil 
bebas banjir 
____________________

dekat ke rs haji jakarta 
dekat tamini square , mall pondok gede
dekat…  https://www.instagram.com/p/cdjjowfbyed/?igshid=1476x3r1zs01s …",[],['https://www.instagram.com/p/CDjJowfBYed/?igshid=1476x3r1zs01s'],[],0,0,0,[],[],https://twitter.com/sugihartono_pro/status/1291362725780742144,False,,0,,,,,,,"[{'user_id': '758499693919952897', 'username': 'sugihartono_pro'}]",,,,
51,1291362156596924416,1291362156596924416,1596719705000,2020-08-06,20:15:05,SE Asia Standard Time,758499693919952897,sugihartono_pro,sugihartono properti,,"rumah 2 lantai lubang buaya harga covid hanya 1,4m 
lt 98m2
lb 130m2
kt 3
km 2
2200 watt
akses 2 mobil 
bebas banjir 
____________________

dekat ke rs haji jakarta 
dekat tamini square , mall pondok gede
dekat…  https://www.instagram.com/p/cdjjyjvbgbe/?igshid=16xr157ftujlo …",[],['https://www.instagram.com/p/CDjJYJVBGbE/?igshid=16xr157ftujlo'],[],0,0,0,[],[],https://twitter.com/sugihartono_pro/status/1291362156596924416,False,,0,,,,,,,"[{'user_id': '758499693919952897', 'username': 'sugihartono_pro'}]",,,,
52,1291360655899947015,1291325330641178631,1596719347000,2020-08-06,20:09:07,SE Asia Standard Time,1243436517462175745,ariefgka,gka arief,,"sudah diduga akan berkomentar spt itu.
korban covid19 di jakarta tinggi, dia bersyukur.
tingkat resesi tinggi, dibilang sdh diprediksi.
nanti tdk lama lagi akan banjir, dia akan bilang sdh menduga 
tapi, sang gibernur tdk melakukan apa2.",['chusnulsyantik'],[],[],0,0,0,[],[],https://twitter.com/AriefGka/status/1291360655899947015,False,,0,,,,,,,"[{'user_id': '1243436517462175745', 'username': 'AriefGka'}, {'user_id': '2928583759', 'username': 'ChusnulSyantik'}]",,,,
53,1291356464448188417,1290910838849564672,1596718348000,2020-08-06,19:52:28,SE Asia Standard Time,1135331462620647424,husnulkusdian,husnulli,,"bah jan ditanya lagi weh, dulu tetangga aku aja peliharaannya buaya, jakarta banjir yg hanyut sampah, bangka banjir yg hanyut buaya (•﹏•) buka pintu langsung disambut buaya (~_~)
🏘️🏃🐊🐊🐊🐊🐊🐊","['kelincigemoy', 'rockin_marvin']",[],[],1,0,5,[],[],https://twitter.com/husnulkusdian/status/1291356464448188417,False,,0,,,,,,,"[{'user_id': '1135331462620647424', 'username': 'husnulkusdian'}, {'user_id': '1639876585', 'username': 'kelincigemoy'}, {'user_id': '139740880', 'username': 'Rockin_Marvin'}]",,,,
54,1291352629453283328,1291352629453283328,1596717433000,2020-08-06,19:37:13,SE Asia Standard Time,1199692910385479681,rizukania,Rizka Kurnia Hardanti,,kendaraan ketika banjir di jakarta..  https://twitter.com/techinsider/status/1291296381852880898 …,[],['https://twitter.com/techinsider/status/1291296381852880898'],[],0,0,0,[],[],https://twitter.com/rizukania/status/1291352629453283328,False,https://twitter.com/techinsider/status/1291296381852880898,0,,,,,,,"[{'user_id': '1199692910385479681', 'username': 'rizukania'}]",,,,
56,1291347016992395267,1291347016992395267,1596716095000,2020-08-06,19:14:55,SE Asia Standard Time,839324889395806208,rumaindo_com,Rumaindo_com,,"dijual murah rumah baru di cluster dekat stasiun lenteng agung jagakarsa jakarta selatan

- one gate system
- security 24 jam
- aman, tenang dan bebas banjir
- unit progress pembangunan 90%
tgl 6 agustus 2020

rumah…  https://www.instagram.com/p/cdjcfimh6fd/?igshid=1pqbkdzvgwkv5 …",[],['https://www.instagram.com/p/CDjCfimH6Fd/?igshid=1pqbkdzvgwkv5'],[],0,0,0,[],[],https://twitter.com/rumaindo_com/status/1291347016992395267,False,,0,,,,,,,"[{'user_id': '839324889395806208', 'username': 'rumaindo_com'}]",,,,
57,1291345522121248770,1291345522121248770,1596715739000,2020-08-06,19:08:59,SE Asia Standard Time,1240486953314729984,nacikitdaniel,Daniel_Nacikit,,"pemprov dki ingin pinjam rp 5,3 triliun ke pemerintah pusat kendalikan banjir jakarta selama dua tahun mulai 2020 s/d 2021

gasss teruss jangan kendorr.
apapun masalahnya, anggaran solusinya.! kerja sunyi senyap anggaran lenyap

#stopegopolitikatasipandemi
 https://merahputih.com/post/read/anak-buah-anies-ingin-pinjam-rp-5-3-triliun-ke-pemerintah-pusat-kendalikan-banjir-jakarta …",[],['https://merahputih.com/post/read/anak-buah-anies-ingin-pinjam-rp-5-3-triliun-ke-pemerintah-pusat-kendalikan-banjir-jakarta'],[],0,0,2,['#stopegopolitikatasipandemi'],[],https://twitter.com/NacikitDaniel/status/1291345522121248770,False,,0,,,,,,,"[{'user_id': '1240486953314729984', 'username': 'NacikitDaniel'}]",,,,
58,1291342787216957441,1291342787216957441,1596715087000,2020-08-06,18:58:07,SE Asia Standard Time,759692754985242625,kumparan,kumparan,,anies akan menyiapkan alat ukur curuh hujan di kelurahan bahkan hingga rt rw di jakarta untuk mengantisipasi banjir. #kumparannews https://kumparan.com/kumparannews/anies-minta-alat-ukur-curah-hujan-ada-di-kelurahan-untuk-antisipasi-banjir-1twxvantpdq?utm_medium=post&utm_source=twitter&utm_campaign=int …,[],['https://kumparan.com/kumparannews/anies-minta-alat-ukur-curah-hujan-ada-di-kelurahan-untuk-antisipasi-banjir-1twxvAntpDq?utm_medium=post&utm_source=Twitter&utm_campaign=int'],[],0,0,4,['#kumparannews'],[],https://twitter.com/kumparan/status/1291342787216957441,False,,0,,,,,,,"[{'user_id': '759692754985242625', 'username': 'kumparan'}]",,,,
59,1291341824167038977,1291341824167038977,1596714857000,2020-08-06,18:54:17,SE Asia Standard Time,1027650470,ervik_as,ervik ari susanto,," https://news.detik.com/berita/d-5120926/pemprov-dki-usulkan-rp-17-t-untuk-pengendalian-banjir …

pemprov dki jakarta menerima dana pinjaman pt smi sebesar rp 12,5 triliun. penggunaan dana itu akan diprioritaskan untuk infrastruktur penanganan banjir.",[],['https://news.detik.com/berita/d-5120926/pemprov-dki-usulkan-rp-17-t-untuk-pengendalian-banjir'],[],0,0,0,[],[],https://twitter.com/Ervik_AS/status/1291341824167038977,False,,0,,,,,,,"[{'user_id': '1027650470', 'username': 'Ervik_AS'}]",,,,
60,1291336728385482753,1291336728385482753,1596713642000,2020-08-06,18:34:02,SE Asia Standard Time,18129942,tempodotco,TEMPO.CO,,dki siapkan rp 781 miliar buat pembebasan lahan program atasi banjir jakarta  https://metro.tempo.co/read/1373214/dki-siapkan-rp-781-miliar-buat-pembebasan-lahan-program-atasi-banjir-jakarta?utm_source=digital%20marketing&utm_medium=twitter&utm_campaign=dlvrit …,[],['https://metro.tempo.co/read/1373214/dki-siapkan-rp-781-miliar-buat-pembebasan-lahan-program-atasi-banjir-jakarta?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit'],[],0,0,9,[],[],https://twitter.com/tempodotco/status/1291336728385482753,False,,0,,,,,,,"[{'user_id': '18129942', 'username': 'tempodotco'}]",,,,
61,1291333330013532160,1291333330013532160,1596712832000,2020-08-06,18:20:32,SE Asia Standard Time,759692754985242625,kumparan,kumparan,,anies juga meminta pengadaan sirine peringatan banjir jakarta disetop ke depan. #kumparannews https://kumparan.com/kumparannews/anies-setop-pengadaan-sirine-peringatan-banjir-1twx6axdy4i?utm_medium=post&utm_source=twitter&utm_campaign=int …,[],['https://kumparan.com/kumparannews/anies-setop-pengadaan-sirine-peringatan-banjir-1twx6AxdY4i?utm_medium=post&utm_source=Twitter&utm_campaign=int'],[],2,2,3,['#kumparannews'],[],https://twitter.com/kumparan/status/1291333330013532160,False,,0,,,,,,,"[{'user_id': '759692754985242625', 'username': 'kumparan'}]",,,,
62,1291327673399042049,1291327673399042049,1596711483000,2020-08-06,17:58:03,SE Asia Standard Time,1240106903016853504,chakrawalas,Chakrawala Indo New's,,"dinas sda dki jakarta ajukan anggaran pengendalian banjir rp5.2 triliun
 http://cakrawalaindo.news.blog/2020/08/06/dinas-sda-dki-jakarta-ajukan-anggaran-pengendalian-banjir-rp5-2-triliun/ …",[],['http://cakrawalaindo.news.blog/2020/08/06/dinas-sda-dki-jakarta-ajukan-anggaran-pengendalian-banjir-rp5-2-triliun/'],[],0,0,0,[],[],https://twitter.com/ChakrawalaS/status/1291327673399042049,False,,0,,,,,,,"[{'user_id': '1240106903016853504', 'username': 'ChakrawalaS'}]",,,,
63,1291325395506167809,1291325395506167809,1596710940000,2020-08-06,17:49:00,SE Asia Standard Time,3273958142,kominfotik_jt,Sudin Kominfotik Jakarta Timur,,"antisipasi banjir, wali kota minta sudin sda kuras waduk dan saluran⁣
⁣
pemerintah kota administrasi jakarta timur serius melakukan pencegahan penanganan banjir. hini dibahas dalam kegiatan rapat koordinasi evaluasi…  https://www.instagram.com/p/cdi4ql5pckm/?igshid=hwsyfpmzpjn5 …",[],['https://www.instagram.com/p/CDi4qL5pcKM/?igshid=hwsyfpmzpjn5'],[],0,0,0,[],[],https://twitter.com/kominfotik_jt/status/1291325395506167809,False,,0,,,,,,,"[{'user_id': '3273958142', 'username': 'kominfotik_jt'}]",,,,
64,1291322263644454914,1291322263644454914,1596710193000,2020-08-06,17:36:33,SE Asia Standard Time,759692754985242625,kumparan,kumparan,,anies ingin early warning system mengantisipasi banjir jakarta sudah rampung dalam 2 minggu ke depan. #kumparannews https://kumparan.com/kumparannews/anies-susun-early-warning-system-banjir-bertindak-sebelum-air-rendam-rumah-1twwczvbt3d?utm_medium=post&utm_source=twitter&utm_campaign=int …,[],['https://kumparan.com/kumparannews/anies-susun-early-warning-system-banjir-bertindak-sebelum-air-rendam-rumah-1twwczvbT3D?utm_medium=post&utm_source=Twitter&utm_campaign=int'],[],0,0,4,['#kumparannews'],[],https://twitter.com/kumparan/status/1291322263644454914,False,,0,,,,,,,"[{'user_id': '759692754985242625', 'username': 'kumparan'}]",,,,
